sample_number,sample_date,lead_amount_ppm
1584797,2014-05-22,6.58e-4
1584621,2014-05-22,0.00558
1583923,2014-05-22,1.7e-4
1587873,2014-05-22,5e-5
1583633,2014-05-22,0.00923
1584741,2014-05-22,5.36e-5
1584660,2014-05-22,5e-5
1585568,2014-05-22,1.65e-4
1587368,2014-05-22,5e-5
1584771,2014-05-22,0.00702
1588674,2014-05-22,0.00746
1587308,2014-05-22,0.00209
1584918,2014-05-22,0.00102
1587996,2014-05-22,0.00277
1585455,2014-05-22,6.16e-5
1584939,2014-05-22,0.00314
1585588,2014-05-22,5e-5
1584807,2014-05-22,1.47e-4
1584669,2014-05-22,0.00445
1584971,2014-05-22,8.12e-4
1584764,2014-05-22,1.81e-4
1585005,2014-05-22,5e-5
1584768,2014-05-22,3.51e-4
1584659,2014-05-22,3.87e-4
1583927,2014-05-22,5.32e-5
1586749,2014-05-22,5.11e-5
1587575,2014-05-22,6.83e-5
1587050,2014-05-22,0.00869
1583547,2014-05-22,1.36e-4
1585723,2014-05-22,1.32e-4
1588630,2014-05-22,9.61e-5
1584795,2014-05-22,8.68e-5
1584666,2014-05-22,0.00184
1584874,2014-05-22,1.17e-4
1584950,2014-05-22,0.00244
1585004,2014-05-22,5.71e-4
1583942,2014-05-22,0.00524
1584769,2014-05-22,3.43e-4
1584763,2014-05-22,0.00263
1584630,2014-05-22,0.0017
1585818,2014-05-22,5.82e-5
1584709,2014-05-22,0.00985
1584650,2014-05-22,0.0134
1583933,2014-05-22,1.06e-4
1586497,2014-05-22,0.00482
1591604,2014-05-22,7.96e-5
1585453,2014-05-22,3.82e-4
1586618,2014-05-22,5.05e-4
1586270,2014-05-22,0.0013
1585357,2014-05-22,0.00135
1584892,2014-05-22,7.98e-4
1586528,2014-05-22,1.78e-4
1584734,2014-05-22,0.00411
1585538,2014-05-22,1.28e-4
1585566,2014-05-22,1.18e-4
1585718,2014-05-22,0.0105
1584875,2014-05-22,5e-5
1584958,2014-05-22,4.8e-4
1584767,2014-05-22,0.00192
1585679,2014-05-22,9.09e-5
1584802,2014-05-22,5e-5
1584731,2014-05-22,1.08e-4
1586495,2014-05-22,0.00165
1587057,2014-05-22,7.9e-5
1584803,2014-05-22,5e-5
1584737,2014-05-22,6.38e-5
1587854,2014-05-22,0.00782
1584800,2014-05-22,8.89e-5
1586776,2014-05-22,5e-5
1585517,2014-05-22,0.00358
1588627,2014-05-22,6.77e-4
1584595,2014-05-22,1.15e-4
1586268,2014-05-22,5.5e-4
1585713,2014-05-22,0.00253
1586777,2014-05-22,5e-5
1586441,2014-05-22,0.0101
1586770,2014-05-22,1.59e-4
1587064,2014-05-22,1.4e-4
1587869,2014-05-22,1.34e-4
